,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,Livin' On A Prayer,Bon Jovi,0.52,0.887,0.0,-3.296,1.0,0.0349,0.0665,0.000179,0.186,0.793,122.528,audio_features,7qQnBfwXrw2tZNFG4Uf57N,spotify:track:7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/tracks/7qQnBfwXrw2tZNFG4Uf57N,https://api.spotify.com/v1/audio-analysis/7qQnBfwXrw2tZNFG4Uf57N,250627.0,4.0,0
1,Wanted Dead Or Alive,Bon Jovi,0.257,0.819,7.0,-3.562,1.0,0.0422,0.085,0.015,0.324,0.267,150.354,audio_features,4Zj9VM4fO1KwkU3lFaECsW,spotify:track:4Zj9VM4fO1KwkU3lFaECsW,https://api.spotify.com/v1/tracks/4Zj9VM4fO1KwkU3lFaECsW,https://api.spotify.com/v1/audio-analysis/4Zj9VM4fO1KwkU3lFaECsW,308560.0,4.0,0
2,Runaway,Bon Jovi,0.47,0.907,9.0,-3.654,0.0,0.0806,0.00615,1.8e-05,0.138,0.604,152.512,audio_features,2ylCirkRqHyueMScaUajLe,spotify:track:2ylCirkRqHyueMScaUajLe,https://api.spotify.com/v1/tracks/2ylCirkRqHyueMScaUajLe,https://api.spotify.com/v1/audio-analysis/2ylCirkRqHyueMScaUajLe,231307.0,4.0,3
3,Sail,AWOLNATION,0.826,0.436,1.0,-9.583,1.0,0.0558,0.441,0.615,0.0964,0.272,119.051,audio_features,7ueP5u2qkdZbIPN2YA6LR0,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,https://api.spotify.com/v1/tracks/7ueP5u2qkdZbIPN2YA6LR0,https://api.spotify.com/v1/audio-analysis/7ueP5u2qkdZbIPN2YA6LR0,259093.0,4.0,2
4,Rock Steady (Remastered Album Version),Bad Company,0.69,0.73,9.0,-7.547,0.0,0.0321,0.125,1.67e-06,0.0859,0.754,99.726,audio_features,4pxySCmbQkwtHiDX6dxKuk,spotify:track:4pxySCmbQkwtHiDX6dxKuk,https://api.spotify.com/v1/tracks/4pxySCmbQkwtHiDX6dxKuk,https://api.spotify.com/v1/audio-analysis/4pxySCmbQkwtHiDX6dxKuk,225733.0,4.0,3
5,Feel Like Makin' Love (Remastered Album Version),Bad Company,0.56,0.543,7.0,-8.433,1.0,0.0288,0.233,0.000179,0.335,0.661,85.119,audio_features,3HKthdb7Ejnydb74BvmQW0,spotify:track:3HKthdb7Ejnydb74BvmQW0,https://api.spotify.com/v1/tracks/3HKthdb7Ejnydb74BvmQW0,https://api.spotify.com/v1/audio-analysis/3HKthdb7Ejnydb74BvmQW0,314093.0,4.0,0
6,No Woman No Cry,Bob Marley & The Wailers,0.896,0.294,0.0,-14.102,1.0,0.0519,0.101,0.0,0.0759,0.643,98.552,audio_features,0DDP7E1FqRhAuUejbgdRwa,spotify:track:0DDP7E1FqRhAuUejbgdRwa,https://api.spotify.com/v1/tracks/0DDP7E1FqRhAuUejbgdRwa,https://api.spotify.com/v1/audio-analysis/0DDP7E1FqRhAuUejbgdRwa,222280.0,4.0,0
7,Jamming,Bob Marley & The Wailers,0.939,0.479,11.0,-10.986,0.0,0.282,0.128,2.65e-05,0.111,0.723,123.68,audio_features,5svnF9TMoMnerAMo3mmNnt,spotify:track:5svnF9TMoMnerAMo3mmNnt,https://api.spotify.com/v1/tracks/5svnF9TMoMnerAMo3mmNnt,https://api.spotify.com/v1/audio-analysis/5svnF9TMoMnerAMo3mmNnt,212640.0,4.0,1
8,You Give Love A Bad Name,Bon Jovi,0.533,0.963,0.0,-2.528,0.0,0.0562,0.0353,1.33e-06,0.368,0.789,122.812,audio_features,1MTMedlCphum6mRcd8YzvE,spotify:track:1MTMedlCphum6mRcd8YzvE,https://api.spotify.com/v1/tracks/1MTMedlCphum6mRcd8YzvE,https://api.spotify.com/v1/audio-analysis/1MTMedlCphum6mRcd8YzvE,223147.0,4.0,3
9,Come a Little Closer,Cage The Elephant,0.454,0.788,1.0,-1.729,0.0,0.0309,0.0177,1.36e-06,0.181,0.33,147.952,audio_features,7fK8e68OFiIgUpcWKzu1nM,spotify:track:7fK8e68OFiIgUpcWKzu1nM,https://api.spotify.com/v1/tracks/7fK8e68OFiIgUpcWKzu1nM,https://api.spotify.com/v1/audio-analysis/7fK8e68OFiIgUpcWKzu1nM,229960.0,4.0,3
10,Good Times Roll,The Cars,0.607,0.662,4.0,-9.456,1.0,0.0278,0.0951,8.27e-05,0.125,0.629,107.643,audio_features,7hVhRCDV100Jq26NGR7adw,spotify:track:7hVhRCDV100Jq26NGR7adw,https://api.spotify.com/v1/tracks/7hVhRCDV100Jq26NGR7adw,https://api.spotify.com/v1/audio-analysis/7hVhRCDV100Jq26NGR7adw,225853.0,4.0,0
11,My Best Friend's Girl,The Cars,0.799,0.608,5.0,-8.193,1.0,0.0411,0.0811,0.0137,0.102,0.963,121.915,audio_features,1SRkKyJ2JjMZgyDWC30zKv,spotify:track:1SRkKyJ2JjMZgyDWC30zKv,https://api.spotify.com/v1/tracks/1SRkKyJ2JjMZgyDWC30zKv,https://api.spotify.com/v1/audio-analysis/1SRkKyJ2JjMZgyDWC30zKv,223253.0,4.0,0
12,Just What I Needed,The Cars,0.619,0.579,4.0,-9.307,1.0,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,audio_features,4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,https://api.spotify.com/v1/audio-analysis/4alHo6RGd0D3OUbTPExTHN,225627.0,4.0,0
13,Shake It Up,The Cars,0.692,0.74,0.0,-7.466,1.0,0.0329,0.0723,8.83e-05,0.136,0.864,147.274,audio_features,5lXG3SLCMVk7dJzp1YeMni,spotify:track:5lXG3SLCMVk7dJzp1YeMni,https://api.spotify.com/v1/tracks/5lXG3SLCMVk7dJzp1YeMni,https://api.spotify.com/v1/audio-analysis/5lXG3SLCMVk7dJzp1YeMni,215440.0,4.0,0
14,Who'll Stop The Rain,Creedence Clearwater Revival,0.576,0.736,7.0,-7.553,1.0,0.0332,0.0302,0.00231,0.0573,0.676,123.404,audio_features,02LZ5CZfFniAsRXQKMda13,spotify:track:02LZ5CZfFniAsRXQKMda13,https://api.spotify.com/v1/tracks/02LZ5CZfFniAsRXQKMda13,https://api.spotify.com/v1/audio-analysis/02LZ5CZfFniAsRXQKMda13,147733.0,4.0,0
15,Have You Ever Seen The Rain,Creedence Clearwater Revival,0.773,0.543,0.0,-9.97,1.0,0.0292,0.093,5.63e-06,0.175,0.802,115.997,audio_features,5XE8c07vbpQBUriwybOHtd,spotify:track:5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/tracks/5XE8c07vbpQBUriwybOHtd,https://api.spotify.com/v1/audio-analysis/5XE8c07vbpQBUriwybOHtd,160000.0,4.0,0
16,Bad Moon Rising,Creedence Clearwater Revival,0.518,0.839,2.0,-3.904,1.0,0.0406,0.0359,0.0,0.0817,0.935,179.098,audio_features,0BG2iE6McPhmAEKIhfqy1X,spotify:track:0BG2iE6McPhmAEKIhfqy1X,https://api.spotify.com/v1/tracks/0BG2iE6McPhmAEKIhfqy1X,https://api.spotify.com/v1/audio-analysis/0BG2iE6McPhmAEKIhfqy1X,139280.0,4.0,0
17,Fortunate Son,Creedence Clearwater Revival,0.636,0.746,0.0,-3.785,1.0,0.0393,0.0648,0.29,0.173,0.432,132.31,audio_features,5e6x5YRnMJIKvYpZxLqdpH,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/audio-analysis/5e6x5YRnMJIKvYpZxLqdpH,138053.0,4.0,0
18,Lookin' Out My Back Door,Creedence Clearwater Revival,0.766,0.752,5.0,-4.867,1.0,0.042,0.153,0.00234,0.0889,0.889,105.346,audio_features,6OPfRnzCg2ChTxl4OcXTh1,spotify:track:6OPfRnzCg2ChTxl4OcXTh1,https://api.spotify.com/v1/tracks/6OPfRnzCg2ChTxl4OcXTh1,https://api.spotify.com/v1/audio-analysis/6OPfRnzCg2ChTxl4OcXTh1,152467.0,4.0,0
